SBER,220062,2026-04-06 18:10:30
SBER,223500,2026-04-06 18:10:31
SBER,218900,2026-04-06 18:10:32
SBER,226100,2026-04-06 18:10:33
GAZ,90782,2026-04-06 18:10:34
GAZ,92310,2026-04-06 18:10:35
GAZ,88950,2026-04-06 18:10:36
LUKOIL,177357,2026-04-06 18:10:37
LUKOIL,181240,2026-04-06 18:10:38
LUKOIL,179800,2026-04-06 18:10:39
MOEX,33012,2026-04-06 18:10:40
ROSNEFT,474974,2026-04-06 18:10:41
AAPL,120,2026-04-06 18:10:42
AAPL,115,2026-04-06 18:10:43
AAPL,98,2026-04-06 18:10:44
AAPL,90,2026-04-06 18:10:45
AAPL,104,2026-04-06 18:10:46
GOOG,200,2026-04-06 18:10:47
GOOG,208,2026-04-06 18:10:48
GOOG,196,2026-04-06 18:10:49
GOOG,214,2026-04-06 18:10:50
GOOG,207,2026-04-06 18:10:51
MOEX,33800,2026-04-06 18:10:52
MOEX,32550,2026-04-06 18:10:53
MOEX,34120,2026-04-06 18:10:54
MOEX,33360,2026-04-06 18:10:55
ROSNEFT,468000,2026-04-06 18:10:56
ROSNEFT,481500,2026-04-06 18:10:57
ROSNEFT,472200,2026-04-06 18:10:58
ROSNEFT,489000,2026-04-06 18:10:59
